Ano,Mês,UF
2000,Abril,AC
2000,Abril,AL
2000,Abril,AM
2000,Abril,AP
2000,Abril,BA
2000,Abril,CE
2000,Abril,DF
2000,Abril,ES
2000,Abril,GO
2000,Abril,MA
2000,Abril,MG
2000,Abril,MS
2000,Abril,MT
2000,Abril,PA
2000,Abril,PB
2000,Abril,PE
2000,Abril,PI
2000,Abril,PR
2000,Abril,RJ
2000,Abril,RN
2000,Abril,RO
2000,Abril,RR
2000,Abril,RS
2000,Abril,SC
2000,Abril,SE
2000,Abril,SP
2000,Abril,TO
2000,Agosto,AC
2000,Agosto,AL
2000,Agosto,AM
2000,Agosto,AP
2000,Agosto,BA
2000,Agosto,CE
2000,Agosto,DF
2000,Agosto,ES
2000,Agosto,GO
2000,Agosto,MA
2000,Agosto,MG
2000,Agosto,MS
2000,Agosto,MT
2000,Agosto,PA
2000,Agosto,PB
2000,Agosto,PE
2000,Agosto,PI
2000,Agosto,PR
2000,Agosto,RJ
2000,Agosto,RN
2000,Agosto,RO
2000,Agosto,RR
2000,Agosto,RS
2000,Agosto,SC
2000,Agosto,SE
2000,Agosto,SP
2000,Agosto,TO
2000,Dezembro,AC
2000,Dezembro,AL
2000,Dezembro,AM
2000,Dezembro,AP
2000,Dezembro,BA
2000,Dezembro,CE
2000,Dezembro,DF
2000,Dezembro,ES
2000,Dezembro,GO
2000,Dezembro,MA
2000,Dezembro,MG
2000,Dezembro,MS
2000,Dezembro,MT
2000,Dezembro,PA
2000,Dezembro,PB
2000,Dezembro,PE
2000,Dezembro,PI
2000,Dezembro,PR
2000,Dezembro,RJ
2000,Dezembro,RN
2000,Dezembro,RO
2000,Dezembro,RR
2000,Dezembro,RS
2000,Dezembro,SC
2000,Dezembro,SE
2000,Dezembro,SP
2000,Dezembro,TO
2000,Fevereiro,AC
2000,Fevereiro,AL
2000,Fevereiro,AM
2000,Fevereiro,AP
2000,Fevereiro,BA
2000,Fevereiro,CE
2000,Fevereiro,DF
2000,Fevereiro,ES
2000,Fevereiro,GO
2000,Fevereiro,MA
2000,Fevereiro,MG
2000,Fevereiro,MS
2000,Fevereiro,MT
2000,Fevereiro,PA
2000,Fevereiro,PB
2000,Fevereiro,PE
2000,Fevereiro,PI
2000,Fevereiro,PR
2000,Fevereiro,RJ
2000,Fevereiro,RN
2000,Fevereiro,RO
2000,Fevereiro,RR
2000,Fevereiro,RS
2000,Fevereiro,SC
2000,Fevereiro,SE
2000,Fevereiro,SP
2000,Fevereiro,TO
2000,Janeiro,AC
2000,Janeiro,AL
2000,Janeiro,AM
2000,Janeiro,AP
2000,Janeiro,BA
2000,Janeiro,CE
2000,Janeiro,DF
2000,Janeiro,ES
2000,Janeiro,GO
2000,Janeiro,MA
2000,Janeiro,MG
2000,Janeiro,MS
2000,Janeiro,MT
2000,Janeiro,PA
2000,Janeiro,PB
2000,Janeiro,PE
2000,Janeiro,PI
2000,Janeiro,PR
2000,Janeiro,RJ
2000,Janeiro,RN
2000,Janeiro,RO
2000,Janeiro,RR
2000,Janeiro,RS
2000,Janeiro,SC
2000,Janeiro,SE
2000,Janeiro,SP
2000,Janeiro,TO
2000,Julho,AC
2000,Julho,AL
2000,Julho,AM
2000,Julho,AP
2000,Julho,BA
2000,Julho,CE
2000,Julho,DF
2000,Julho,ES
2000,Julho,GO
2000,Julho,MA
2000,Julho,MG
2000,Julho,MS
2000,Julho,MT
2000,Julho,PA
2000,Julho,PB
2000,Julho,PE
2000,Julho,PI
2000,Julho,PR
2000,Julho,RJ
2000,Julho,RN
2000,Julho,RO
2000,Julho,RR
2000,Julho,RS
2000,Julho,SC
2000,Julho,SE
